#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"svchost","C:\WINDOWS\System32\svchost.exe","14804"
"svchost","C:\WINDOWS\system32\svchost.exe","18160"
"System",,"4"
"SystemIdleCheck","C:\Program Files\Dell\SupportAssistAgent\PCDr\SupportAssist\6.0.7240.285\SystemIdleCheck.exe","21932"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","11032"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","6936"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","13956"
"TeamViewer_Service","C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe","6556"
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe","4424"
"UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","13744"
"vmware-authd","C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe","4292"
"vmware-hostd","C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe","5912"
"vmware-tray","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","11168"
"vmware-usbarbitrator64","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe","4312"
"WavesSvc64","C:\Program Files\Waves\MaxxAudio\WavesSvc64.exe","10428"
"WavesSysSvc64","C:\Program Files\Waves\MaxxAudio\WavesSysSvc64.exe","3920"
"wininit",,"804"
"winlogon","C:\WINDOWS\system32\winlogon.exe","872"
"WinStore.App","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12011.1001.1.0_x64__8wekyb3d8bbwe\WinStore.App.exe","8232"
"WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","5516"
"WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","11840"
"WUDFHost","C:\Windows\System32\WUDFHost.exe","724"
"WUDFHost","C:\Windows\System32\WUDFHost.exe","1172"
"YourPhone","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.20111.125.0_x64__8wekyb3d8bbwe\YourPhone.exe","9756"
